Word_HTML_Field,Pages,Category_Prefix,Suggested_Registry_Field,Match_Confidence,Notes
Appraiser1_Email,"1,4",Appraiser1,appraiser1-email,No Match,Not found in registry
Appraiser1_Name,"1,4",Appraiser1,appraiser1-name,No Match,Not found in registry
Appraiser1_Signature,"1,4",Appraiser1,appraiser1-signature,No Match,Not found in registry
Appraiser1_Title,"1,4",Appraiser1,appraiser1-title,No Match,Not found in registry
Client_Address,1,Client,client-address,Exact Match (case-insensitive),Direct mapping available
Client_CityStateZip,1,Client,client-citystatezip,No Match,Not found in registry
Client_Company,"1,3",Client,client-company,Exact Match (case-insensitive),Direct mapping available
Client_Name,1,Client,client-name,No Match,Not found in registry
Client_Suite,1,Client,client-suite,No Match,Not found in registry
Client_Title,1,Client,client-title,Partial Match,Similar: intake-client-title
Company_Address,"1,4",Company,company-address,No Match,Not found in registry
Company_CityStateZip,"1,4",Company,company-citystatezip,No Match,Not found in registry
Company_JobNumber,1,Company,company-jobnumber,No Match,Not found in registry
Company_Name,1,Company,company-name,No Match,Not found in registry
Company_Phone,"1,4",Company,company-phone,No Match,Not found in registry
Exec_Summary1,1,Exec,exec-summary1,No Match,Not found in registry
Exec_Summary2,1,Exec,exec-summary2,No Match,Not found in registry
IA_DirCap,4,IA,ia-dircap,No Match,Not found in registry
IA_DirCapVacancy,4,IA,ia-dircapvacancy,No Match,Not found in registry
IA_DirCap_EGRComment,4,IA,ia-dircap-egrcomment,No Match,Not found in registry
IA_DirCap_GRIMF,4,IA,ia-dircap-grimf,No Match,Not found in registry
IA_DirCap_Loss,4,IA,ia-dircap-loss,No Match,Not found in registry
IA_DirCap_NOIComment,4,IA,ia-dircap-noicomment,No Match,Not found in registry
IA_DirCap_PGRComment,4,IA,ia-dircap-pgrcomment,No Match,Not found in registry
IA_ExpConclusions,4,IA,ia-expconclusions,No Match,Not found in registry
IA_Historical,4,IA,ia-historical,No Match,Not found in registry
IA_IncConclusions,4,IA,ia-incconclusions,No Match,Not found in registry
IA_OARComps,4,IA,ia-oarcomps,No Match,Not found in registry
IA_OARCompsAvg,4,IA,ia-oarcompsavg,No Match,Not found in registry
IA_OARCompsHigh,4,IA,ia-oarcompshigh,No Match,Not found in registry
IA_OARCompsLow,4,IA,ia-oarcompslow,No Match,Not found in registry
IA_OARConclusion,4,IA,ia-oarconclusion,No Match,Not found in registry
IA_OARNOI,4,IA,ia-oarnoi,No Match,Not found in registry
IA_UM_ContvMkt,4,IA,ia-um-contvmkt,No Match,Not found in registry
IA_UM_CvM,4,IA,ia-um-cvm,No Match,Not found in registry
IA_UM_PropertyType,4,IA,ia-um-propertytype,No Match,Not found in registry
IA_UM_RentRoll,4,IA,ia-um-rentroll,No Match,Not found in registry
IA_UM_UnitMix,4,IA,ia-um-unitmix,No Match,Not found in registry
Impv_Summary,4,Impv,impv-summary,No Match,Not found in registry
Map_Aerial,2,Map,map-aerial,Exact Match (case-insensitive),Direct mapping available
Map_Local,3,Map,map-local,Exact Match (case-insensitive),Direct mapping available
Map_Regional,3,Map,map-regional,Exact Match (case-insensitive),Direct mapping available
Report_Approaches,"3,4",Report,report-approaches,No Match,Not found in registry
Report_ApproachesApplied,4,Report,report-approachesapplied,No Match,Not found in registry
Report_Date,"1,3",Report,report-date,Exact Match (case-insensitive),Direct mapping available
Report_Date1,"1,3",Report,report-date1,No Match,Not found in registry
Report_DateInspection,3,Report,report-dateinspection,No Match,Not found in registry
Report_ExposureTime,3,Report,report-exposuretime,No Match,Not found in registry
Report_Extraordinary,"1,2,3,4",Report,report-extraordinary,No Match,Not found in registry
Report_Guidlines,1,Report,report-guidlines,No Match,Not found in registry
Report_HBUImpv,3,Report,report-hbuimpv,No Match,Not found in registry
Report_HBUVacant,"3,4",Report,report-hbuvacant,No Match,Not found in registry
Report_Hypothetical,"1,2,3,4",Report,report-hypothetical,No Match,Not found in registry
Report_InfoSources,3,Report,report-infosources,No Match,Not found in registry
Report_Inspection,3,Report,report-inspection,No Match,Not found in registry
Report_IntendedUse,3,Report,report-intendeduse,No Match,Not found in registry
Report_IntendedUser,3,Report,report-intendeduser,No Match,Not found in registry
Report_Interest,"3,4",Report,report-interest,No Match,Not found in registry
Report_Legal,3,Report,report-legal,No Match,Not found in registry
Report_LimCond,"1,2,3,4",Report,report-limcond,No Match,Not found in registry
Report_ReconIncome,4,Report,report-reconincome,No Match,Not found in registry
Report_ReconSales,4,Report,report-reconsales,No Match,Not found in registry
Report_Reconciliation,4,Report,report-reconciliation,No Match,Not found in registry
Report_ValuationCost,4,Report,report-valuationcost,No Match,Not found in registry
Report_ValuationIncome,4,Report,report-valuationincome,No Match,Not found in registry
Report_ValuationLand,4,Report,report-valuationland,No Match,Not found in registry
Report_ValuationOther,"3,4",Report,report-valuationother,No Match,Not found in registry
Report_ValuationSales,4,Report,report-valuationsales,No Match,Not found in registry
Report_ValueConclusion,1,Report,report-valueconclusion,No Match,Not found in registry
Report_ValueScenario1,"1,3",Report,report-valuescenario1,No Match,Not found in registry
Report_ValueSummary,"1,4",Report,report-valuesummary,No Match,Not found in registry
Report_Values,"1,3,4",Report,report-values,No Match,Not found in registry
SA1_Conclusion,4,SA1,sa1-conclusion,No Match,Not found in registry
SA1_FinalPSFAvg,4,SA1,sa1-finalpsfavg,No Match,Not found in registry
SA1_FinalPSFHigh,4,SA1,sa1-finalpsfhigh,No Match,Not found in registry
SA1_FinalPSFLow,4,SA1,sa1-finalpsflow,No Match,Not found in registry
SA1_ManualMktAdjRow,4,SA1,sa1-manualmktadjrow,No Match,Not found in registry
SA1_Map,4,SA1,sa1-map,No Match,Not found in registry
SA1_MktAdj,4,SA1,sa1-mktadj,No Match,Not found in registry
SA1_PSFAvg,4,SA1,sa1-psfavg,No Match,Not found in registry
SA1_PSFHigh,4,SA1,sa1-psfhigh,No Match,Not found in registry
SA1_PSFLow,4,SA1,sa1-psflow,No Match,Not found in registry
SA1_SPAdjUnadj,4,SA1,sa1-spadjunadj,No Match,Not found in registry
SA1_Summary,4,SA1,sa1-summary,No Match,Not found in registry
SA1_UoC,4,SA1,sa1-uoc,No Match,Not found in registry
SA1_ValuePerUnit1,4,SA1,sa1-valueperunit1,No Match,Not found in registry
SU1_Conclusion1,4,SU1,su1-conclusion1,No Match,Not found in registry
SU1_Conclusion2,4,SU1,su1-conclusion2,No Match,Not found in registry
SU1_Map,4,SU1,su1-map,No Match,Not found in registry
SU1_Summary,4,SU1,su1-summary,No Match,Not found in registry
Site_Streets,4,Site,site-streets,No Match,Not found in registry
Site_Streets1,4,Site,site-streets1,No Match,Not found in registry
Site_Streets2,4,Site,site-streets2,No Match,Not found in registry
Site_Summary,4,Site,site-summary,No Match,Not found in registry
Subject_Access,4,Subject,subject-access,No Match,Not found in registry
Subject_AdjacentE,4,Subject,subject-adjacente,No Match,Not found in registry
Subject_AdjacentN,4,Subject,subject-adjacentn,No Match,Not found in registry
Subject_AdjacentS,4,Subject,subject-adjacents,No Match,Not found in registry
Subject_AdjacentW,4,Subject,subject-adjacentw,No Match,Not found in registry
Subject_Ceilings,4,Subject,subject-ceilings,No Match,Not found in registry
Subject_City,"1,3,4",Subject,subject-city,No Match,Not found in registry
Subject_Condition,4,Subject,subject-condition,Exact Match (case-insensitive),Direct mapping available
Subject_DoorsWindows,4,Subject,subject-doorswindows,No Match,Not found in registry
Subject_Easements,4,Subject,subject-easements,No Match,Not found in registry
Subject_EconCharacteristics,"1,3,4",Subject,subject-econcharacteristics,No Match,Not found in registry
Subject_Electrical,4,Subject,subject-electrical,No Match,Not found in registry
Subject_Elevator,4,Subject,subject-elevator,No Match,Not found in registry
Subject_Exposure,4,Subject,subject-exposure,No Match,Not found in registry
Subject_ExposureTime,3,Subject,subject-exposuretime,No Match,Not found in registry
Subject_Fire,4,Subject,subject-fire,No Match,Not found in registry
Subject_Floor,4,Subject,subject-floor,No Match,Not found in registry
Subject_Foundation,4,Subject,subject-foundation,No Match,Not found in registry
Subject_FunctionalDesign,4,Subject,subject-functionaldesign,No Match,Not found in registry
Subject_HBUImproved,4,Subject,subject-hbuimproved,No Match,Not found in registry
Subject_HBUVacant,4,Subject,subject-hbuvacant,No Match,Not found in registry
Subject_Hazerdous,4,Subject,subject-hazerdous,No Match,Not found in registry
Subject_HeatingAC,4,Subject,subject-heatingac,No Match,Not found in registry
Subject_Insulation,4,Subject,subject-insulation,No Match,Not found in registry
Subject_InteriorBuildout,4,Subject,subject-interiorbuildout,No Match,Not found in registry
Subject_IntroComment,"1,3,4",Subject,subject-introcomment,No Match,Not found in registry
Subject_Landscaping,4,Subject,subject-landscaping,No Match,Not found in registry
Subject_Laundry,4,Subject,subject-laundry,No Match,Not found in registry
Subject_Lighting,4,Subject,subject-lighting,No Match,Not found in registry
Subject_Market,3,Subject,subject-market,No Match,Not found in registry
Subject_Occupancy,4,Subject,subject-occupancy,No Match,Not found in registry
Subject_Owner,3,Subject,subject-owner,No Match,Not found in registry
Subject_Parking,4,Subject,subject-parking,Exact Match (case-insensitive),Direct mapping available
Subject_PermittedUses,4,Subject,subject-permitteduses,No Match,Not found in registry
Subject_Photo,1,Subject,subject-photo,No Match,Not found in registry
Subject_Plumbing,4,Subject,subject-plumbing,No Match,Not found in registry
Subject_Primary,"1,4",Subject,subject-primary,No Match,Not found in registry
Subject_ProjectAmenities,4,Subject,subject-projectamenities,No Match,Not found in registry
Subject_PropertyName,1,Subject,subject-propertyname,No Match,Not found in registry
Subject_Quality,4,Subject,subject-quality,No Match,Not found in registry
Subject_Rating,4,Subject,subject-rating,No Match,Not found in registry
Subject_ReportDepth,3,Subject,subject-reportdepth,No Match,Not found in registry
Subject_ReportType,"1,3",Subject,subject-reporttype,No Match,Not found in registry
Subject_Roof,4,Subject,subject-roof,No Match,Not found in registry
Subject_ST,"1,3",Subject,subject-st,No Match,Not found in registry
Subject_SaleHistory,3,Subject,subject-salehistory,No Match,Not found in registry
Subject_Security,4,Subject,subject-security,No Match,Not found in registry
Subject_Shape,4,Subject,subject-shape,No Match,Not found in registry
Subject_SiteConclusion,4,Subject,subject-siteconclusion,No Match,Not found in registry
Subject_SiteCoverageRatio,4,Subject,subject-sitecoverageratio,No Match,Not found in registry
Subject_SiteImpv,4,Subject,subject-siteimpv,No Match,Not found in registry
Subject_SiteInfo,4,Subject,subject-siteinfo,No Match,Not found in registry
Subject_Soils,4,Subject,subject-soils,No Match,Not found in registry
Subject_State,"1,4",Subject,subject-state,No Match,Not found in registry
Subject_Street,"1,3,4",Subject,subject-street,No Match,Not found in registry
Subject_Submarket,3,Subject,subject-submarket,No Match,Not found in registry
Subject_Subtype,1,Subject,subject-subtype,No Match,Not found in registry
Subject_Topography,4,Subject,subject-topography,No Match,Not found in registry
Subject_TotalAcre,4,Subject,subject-totalacre,No Match,Not found in registry
Subject_TotalSF,4,Subject,subject-totalsf,No Match,Not found in registry
Subject_UnitAmenities,4,Subject,subject-unitamenities,No Match,Not found in registry
Subject_WallsExt,4,Subject,subject-wallsext,No Match,Not found in registry
Subject_WallsInt,4,Subject,subject-wallsint,No Match,Not found in registry
Subject_YearBuilt,4,Subject,subject-yearbuilt,No Match,Not found in registry
Subject_Zoning,4,Subject,subject-zoning,No Match,Not found in registry
Subject_ZoningCode,4,Subject,subject-zoningcode,No Match,Not found in registry
Subject_ZoningConclusion,4,Subject,subject-zoningconclusion,No Match,Not found in registry
Subject_ZoningDef,4,Subject,subject-zoningdef,No Match,Not found in registry
Tax_History,4,Tax,tax-history,No Match,Not found in registry
W_ExistingProposed,4,W,w-existingproposed,No Match,Not found in registry
W_I.We,4,W,w-i.we,No Match,Not found in registry
W_My.Our,4,W,w-my.our,No Match,Not found in registry
W_Noun.s,3,W,w-noun.s,No Match,Not found in registry
W_ProposedYesNo,4,W,w-proposedyesno,No Match,Not found in registry
Zone_Summary,4,Zone,zone-summary,No Match,Not found in registry
